year,month,author,additions,deletions
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,7,12
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,20,15
2016,6,Mike Bostock,6,8
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,115,27
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,6,10
2016,6,Mike Bostock,4,4
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,34,13
2016,6,Mike Bostock,4,8
2016,6,Mike Bostock,0,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,7,9
2016,6,Mike Bostock,21,31
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,8,4
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,49,21
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,119,95
2016,6,Mike Bostock,47,57
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,7
2016,6,Mike Bostock,7,8
2016,6,Mike Bostock,17,2
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,54,8
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,61,55
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,27,25
2016,6,Mike Bostock,17,11
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,3,2
2016,6,Mike Bostock,13,13
2016,6,Mike Bostock,5,3
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,71,9
2016,6,Mike Bostock,0,1
2016,6,Mike Bostock,1,0
2016,6,Mike Bostock,14,14
2016,6,Mike Bostock,1,11
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,3,5
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,54,36
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,3,1
2016,6,Mike Bostock,20,13
2016,6,Mike Bostock,1,0
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,23,9
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,7,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,6,23
2016,6,Mike Bostock,6,6
2016,6,Mike Bostock,20,8
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,7,14
2016,6,Mike Bostock,0,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,0,7
2016,6,Mike Bostock,19,0
2016,6,Mike Bostock,8,0
2016,6,Mike Bostock,3,0
2016,6,Mike Bostock,19,3
2016,6,Mike Bostock,64,45
2016,6,Mike Bostock,5,2
2016,6,Mike Bostock,6,0
2016,6,Mike Bostock,1,1
2016,6,Curran Kelleher,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,62,2
2016,6,Curran Kelleher,1,1
2016,6,Mike Bostock,25,4
2016,6,Mike Bostock,57,51
2016,6,Mike Bostock,34,3
2016,6,Mike Bostock,18,12
2016,6,Mike Bostock,20,0
2016,6,Mike Bostock,36,1
2016,6,Mike Bostock,66,6
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,12,0
2016,6,Mike Bostock,32,30
2016,6,Mike Bostock,60,22
2016,6,Mike Bostock,65,1
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,7,7
